product_name,average_sentiment_score
"GUBB Silicone Ear Plugs For Noise Reduction For Studying, Sleeping & Meditation Pack of 3 Ear Plug??????????(Orange)",0.52
"Top - Pyjama Set Thermal For Boys & Girls??????(Multicolor, Pack of 3)",1.0
Bella vita organic OUD PARFUM Intense Perfume For Men & Women with Long Lasting Fragrance 100 ML Perfume  -  100 ml??????(For Men & Women),0.9130434782608695
Men Solid Single Breasted Casual Blazer??????(Blue),1.0
Authfort Roller Skates Shoes For Kids / Childrens - UNISEX Size 4-8 UK (Multicolor) Quad Roller Skates - Size 4-8 UK??????????(Multicolor),0.9285714285714286
Indigo Creatives Swimming Set of Cap Goggles Float & Ear Plugs Kit For Kids Swimming Kit,0.8888888888888888
Men Solid Double Breasted Casual Blazer??????(Grey),1.0
Grey Women Sling Bag - Mini,1.0
Men Solid Single Breasted Formal Blazer??????(Blue),1.0
Women Regular Fit White Cotton Blend Trousers,1.0
"Adrenex by Flipkart Big Bang 6 inch x 26.5 inch Skateboard??????????(Multicolor, Pack of 1)",0.8405063291139241
"mobspy 3.5mm Clip Microphone For Youtube | Collar Mic for Voice Recording | Lapel Mic Mobile, PC, Laptop, Android Smartphones, DSLR Camera Microphone Microphone collar mic??????(Black)",0.6821705426356589
"\"Sound Boss Androidify 3rd Generation 9\"\" Inch Android (2GB/16GB) Car Stereo??????(Double Din)\"",0.918918918918919
Futurekart Ear Plugs Soft Silica Gel Noise Ear Plug??????????(Multicolor),0.7191489361702128
Men Self Design Single Breasted Formal Blazer??????(Dark Blue),1.0
lyfcare Adult Pull-Up Pants Diapers| XL-20 Pieces|Waist Size :35-54 Inch|Pack of 2 - XL??????(20 Pieces),0.865979381443299
WDIZE Magic Book For Kids ( 4 Book + 10 Refill + 1 Pen + 1 Grip ),0.9741379310344828
Men Checkered Double Breasted Formal Blazer??????(Blue),1.0
"Women Kurta, Pant And Dupatta Set Velvet",1.0
SONY Mega Bass Xs-Fb162e Coaxial Car Speaker??????(260 W),0.8762886597938144
Fashion Deck H Non-electric 2 L Hot Water Bag??????(Green),0.8895027624309392
Men Solid Single Breasted Casual Blazer??????(Orange),1.0
Birdie PVC Enema kit satvik movement 1.5 Litre | Improved Model enema kit for home use Medical Equipment Combo,1.0
"Skylofts Soft Silicone Noise Reduction Ear Plugs for Sleeping, Meditation, Swimming adult and child, Reusable Earmuff for Travel Flights (Pack of 10) Ear Plug??????????(Multicolor)",0.6666666666666666
Men Woven Single Breasted Casual Blazer??????(Black),1.0
Women Regular Fit Cream Viscose Rayon Trousers,1.0
Glun Water Quality Purity Tester 0-990 PPM Digital TDS Meter,0.8472222222222222
Velvet Embroidered Maroon Men Dupatta,1.0
"Men Solid Single Breasted Formal, Wedding Blazer??????(Blue)",1.0
Pack of 3 Solid Men Multicolor Bermuda Shorts,1.0
Art Silk Self Design Gold Men Dupatta,1.0
konvio neer Pen Type Tds 0012 Digital TDS Meter,0.8888888888888888
"Men Solid Single Breasted Wedding, Casual, Festive Blazer??????(Blue)",1.0
"Solutions24x7 Swimming Cap??????????(Pink, Pack of 4)",0.4444444444444444
"Viscose Blend Solid, Self Design Grey Men Dupatta",1.0
Boys & Girls Full Sleeve Printed Sweatshirt,1.0
Cotton Blend Embellished Maroon Men Dupatta,1.0
PRAGATI TRENDS Lab Coat??????(Poly Cotton),0.9161290322580645
"Shopfloor.XYZ 3.5mm Clip Microphone For Youtube, Collar Mike For Voice Recording, Lapel Mic Mobile, Pc, Laptop, Android Smartphones, Dslr Camera Clip On Mini Lapel Lavalier Microphone??????(Black)",0.6580310880829016
"Top Thermal For Baby Boys & Baby Girls??????(Black, Pack of 2)",1.0
"Viscose Blend Solid, Self Design Beige Men Dupatta",1.0
"Velvet Embroidered Gold, Maroon Men Dupatta",1.0
Art Silk Self Design Maroon Men Dupatta,1.0
"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",1.0
Dhawani Skating Shoe have different size and with PU LED wheel In-line Skates - Size 38 - 41 UK In-line Skates - Size 6-9 UK??????????(Blue),0.8670212765957447
"Real Choice Kamni Sports Swimming Kit (Silicon Cap, Silicon Ear Plug, Swimming Nose Clip, Swimming Goggles) Swimming Kit Swimming Kit",0.9347826086956522
Solutions24x7 BEST QUALITY Swimming costume nose ear plug googles cap combo Swimming Kit,0.9021739130434783
Black Women Sling Bag,1.0
Men Checkered Single Breasted Formal Blazer??????(Grey),1.0
Men Self Design Single Breasted Formal Blazer??????(Beige),1.0
Women Regular Fit Red Viscose Rayon Trousers,1.0
"Viscose Blend Solid, Self Design Dark Blue Men Dupatta",1.0
Men Self Design Single Breasted Casual Blazer??????(Maroon),1.0
Men Casual Brown Artificial Leather Money Clip - Mini??????(8 Card Slots),1.0
"Pack of 2 Printed Men Dark Blue, Blue Bermuda Shorts",1.0
Men Solid Single Breasted Formal Blazer??????(Maroon),1.0
Joyalukkas 22kt Purity Gold Jhumki Earring Yellow Gold 22kt Jhumki Earring,1.0
Men Solid Single Breasted Formal Blazer??????(Dark Blue),1.0
"Wishpool Cut Resistant Gloves - High Performance Level 5 Protection, Food Grade FREE SIZE Synthetic  Safety Gloves??????(2)",0.4606741573033708
